Sample	Total Reads	Total Passed QC	Mapped	Duplicates	Paired in Sequencing	Properly Paired	Self and mate mapped	Singletons	Mate mapped to diff chr	Diff chr (mapQ >= 5)
REF0009-mgg-pbdrep | M301546.lib1	100.0	100.0	1.7217412705176731	0.0	100.0	1.5716828195037245	1.6781783640856311	0.04356290643204225	0.03000409422956702	0.010634362511745274
REF0009-mgg-pbdrep | M301547.lib1	100.0	100.0	85.41998772392708	0.0	100.0	77.03927312469881	84.23715043846116	1.1828372854659388	1.8976059067709499	0.8125840263208783
REF0009-mgg-pbdrep | M301548.lib1	100.0	100.0	84.29332018916543	0.0	100.0	67.85651694438506	82.84990232266806	1.4434178664973663	3.555763281618051	1.34734633499975
REF0009-mgg-pbdrep | M301549.lib1	100.0	100.0	83.98838053572513	0.0	100.0	76.12274973441372	82.84297931612399	1.1454012196011383	1.6844298160672362	0.6791389286054297
REF0009-mgg-pbdrep | M301550.lib1	100.0	100.0	28.431396297856004	0.0	100.0	26.966600951809518	27.89418665752373	0.5372096403322763	0.21130618527117626	0.08287339144563989
REF0009-mgg-pbdrep | M301551.lib1	100.0	100.0	83.98799837240412	0.0	100.0	71.07934176713219	82.70311586731916	1.2848825050849757	2.856738516834341	1.1330660530976666
REF0009-mgg-pbdrep | M301552.lib1	100.0	100.0	0.7807648208992477	0.0	100.0	0.6967645232266915	0.7550477560296803	0.02571706486956739	0.021732730875690755	0.008396736929244154
REF0009-mgg-pbdrep | M301553.lib1	100.0	100.0	84.42518931063161	0.0	100.0	76.04828305983948	83.28043236433072	1.1447569463008835	1.7736895055000181	0.7361190605162802
REF0009-mgg-pbdrep | M301554.lib1	100.0	100.0	81.30004069373223	0.0	100.0	71.18973791548339	79.92393264637403	1.3761080473581941	1.9023948939213386	0.7358582886175462
REF0009-mgg-pbdrep | M301555.lib1	100.0	100.0	79.95299743582056	0.0	100.0	72.86641127181561	78.78119776790601	1.1717996679145448	1.5325701766633826	0.6140866470173606
REF0009-mgg-pbdrep | M301556.lib1	100.0	100.0	83.29085503279893	0.0	100.0	77.22852914718463	82.1485215733551	1.1423334594438348	1.2691609068004996	0.5182799631531754
REF0009-mgg-pbdrep | M301557.lib1	100.0	100.0	81.78971515667774	0.0	100.0	73.77788344137493	80.07663558490327	1.7130795717744642	1.37481151037099	0.5454316338103331
REF0009-mgg-pbdrep | M301558.lib1	100.0	100.0	0.815426302638151	0.0	100.0	0.7034909005466748	0.7740151848780544	0.04141111776009651	0.028065436092906557	0.01473693033519818
REF0009-mgg-pbdrep | M301559.lib1	100.0	100.0	1.043902552696786	0.0	100.0	0.8884046357118629	0.968912715324725	0.07498983737206093	0.025066736747803707	0.008317819682615303
REF0009-mgg-pbdrep | M301560.lib1	100.0	100.0	82.22421329930741	0.0	100.0	77.20809516018832	81.06830999885453	1.1559033004528774	1.0358224793535646	0.4287979879742357
REF0009-mgg-pbdrep | M301561.lib1	100.0	100.0	77.44757675585944	0.0	100.0	71.22326390806226	76.38164755249575	1.0659292033636816	1.3106543217255409	0.5216179114890491
REF0009-mgg-pbdrep | M301562.lib1	100.0	100.0	68.30666749906355	0.0	100.0	63.71615058059683	67.16414658509177	1.1425209139717818	0.839255837183169	0.32047072043950553
REF0009-mgg-pbdrep | M301563.lib1	100.0	100.0	0.7113375529483618	0.0	100.0	0.6164686984554205	0.6875403249112357	0.023797228037125938	0.022912362754099892	0.011597383283915803
REF0009-mgg-pbdrep | M301564.lib1	100.0	100.0	81.14016208414951	0.0	100.0	76.15327603601763	79.83003966496078	1.3101224191887313	0.9261958084673767	0.38041246187370764
REF0009-mgg-pbdrep | M301565.lib1	100.0	100.0	77.12243099184452	0.0	100.0	70.44572583775071	75.78922819853898	1.333202793305556	1.2989258587768926	0.5152073619690593
REF0009-mgg-pbdrep | M301566.lib1	100.0	100.0	81.48191788330908	0.0	100.0	75.10047621485324	80.31518658106464	1.166731302244439	1.2660314151829681	0.5097269358773955
REF0009-mgg-pbdrep | M301567.lib1	100.0	100.0	78.80049615944475	0.0	100.0	73.44560676367871	77.55343857692047	1.2470575825242698	1.0407104687116373	0.42298634562816306
REF0009-mgg-pbdrep | M301568.lib1	100.0	100.0	0.8791598414420547	0.0	100.0	0.7631487508952568	0.857697316948067	0.021462524493987892	0.0318155924767706	0.012551322143510542
REF0009-mgg-pbdrep | M301569.lib1	100.0	100.0	73.58438328782607	0.0	100.0	69.68081520394288	72.40224305901289	1.1821402288131817	0.6746088971147113	0.27526834691060603
